,population,female,male,total_deaths,total_cases,clusters,cluster
789,3726,1872,1854,15.0,947.0,0,pink
790,13880,6835,7045,67.0,3257.0,0,pink
791,12510,6356,6154,81.0,3458.0,0,pink
792,5637,2879,2758,26.0,1365.0,0,pink
793,25626,12843,12783,82.0,7226.0,0,pink
794,133009,67700,65309,526.0,38807.0,0,pink
795,26399,13089,13310,70.0,6517.0,0,pink
796,24782,12508,12274,89.0,6358.0,0,pink
797,21125,10674,10451,68.0,5525.0,0,pink
798,20260,10022,10238,66.0,7029.0,0,pink
799,14735,7354,7381,64.0,3805.0,0,pink
800,9780,4736,5044,27.0,3100.0,0,pink
801,20344,10356,9988,88.0,5707.0,0,pink
802,13191,6644,6547,88.0,3358.0,0,pink
803,18445,9284,9161,49.0,5045.0,0,pink
804,42984,22134,20850,184.0,12782.0,0,pink
805,11468,5672,5796,75.0,3612.0,0,pink
806,12099,6041,6058,37.0,3159.0,0,pink
807,9282,4593,4689,43.0,2701.0,0,pink
808,16313,8262,8051,53.0,4810.0,0,pink
809,17672,8772,8900,80.0,4043.0,0,pink
810,47218,24092,23126,172.0,13830.0,0,pink
811,17132,8585,8547,60.0,5137.0,0,pink
812,84002,42635,41367,163.0,26807.0,0,pink
813,8885,4487,4398,38.0,1836.0,0,pink
814,8044,4027,4017,29.0,1848.0,0,pink
815,17258,8569,8689,73.0,4767.0,0,pink
816,39600,20287,19313,166.0,11270.0,0,pink
817,17056,8541,8515,82.0,4800.0,0,pink
818,96802,49058,47744,332.0,30900.0,0,pink
819,9551,4781,4770,59.0,2693.0,0,pink
820,19929,9931,9998,88.0,4939.0,0,pink
821,15858,8092,7766,71.0,4195.0,0,pink
822,10245,5128,5117,57.0,2960.0,0,pink
823,6968,3498,3470,30.0,1651.0,0,pink
824,9003,4623,4380,28.0,2055.0,0,pink
825,12341,6233,6108,50.0,3061.0,0,pink
826,10674,5339,5335,48.0,2769.0,0,pink
827,15110,7733,7377,91.0,4026.0,0,pink
828,10888,5394,5494,52.0,3327.0,0,pink
829,17127,8562,8565,72.0,5071.0,0,pink
830,14143,7154,6989,101.0,3857.0,0,pink
831,19926,9801,10125,85.0,6525.0,0,pink
832,9264,4684,4580,37.0,2318.0,0,pink
833,9566,4915,4651,44.0,3101.0,0,pink
834,6916,3459,3457,51.0,2171.0,0,pink
835,16207,8155,8052,54.0,4379.0,0,pink
836,19395,9683,9712,75.0,5515.0,0,pink
837,36891,18222,18669,125.0,10413.0,0,pink
838,18077,8965,9112,62.0,4397.0,0,pink
839,147001,74236,72765,183.0,44843.0,0,pink
840,20568,9983,10585,84.0,6460.0,0,pink
841,10200,4998,5202,55.0,2524.0,0,pink
842,15075,7528,7547,98.0,4359.0,0,pink
843,34541,17170,17371,151.0,9196.0,0,pink
844,222121,112581,109540,664.0,64520.0,0,pink
845,11223,5499,5724,67.0,2981.0,0,pink
846,8597,4279,4318,34.0,2189.0,0,pink
847,11769,5756,6013,55.0,3152.0,0,pink
848,15890,7862,8028,45.0,3704.0,0,pink
849,22208,10956,11252,97.0,5821.0,0,pink
850,33207,16833,16374,134.0,8882.0,0,pink
851,40271,19871,20400,134.0,11398.0,0,pink
852,14957,7441,7516,48.0,4021.0,0,pink
853,10631,5349,5282,52.0,2836.0,0,pink
854,8796,4513,4283,54.0,2101.0,0,pink
855,7863,3799,4064,52.0,2204.0,0,pink
856,10155,5286,4869,60.0,2596.0,0,pink
857,42950,21474,21476,151.0,11232.0,0,pink
858,13911,6949,6962,73.0,3888.0,0,pink
859,6115,3024,3091,24.0,1579.0,0,pink
860,15363,7441,7922,56.0,3845.0,0,pink
861,9055,4543,4512,45.0,2434.0,0,pink
862,25039,12751,12288,118.0,7138.0,0,pink
863,6898,3514,3384,33.0,1970.0,0,pink
864,474274,240675,233599,1223.0,147032.0,1,purple
865,93503,47580,45923,363.0,27892.0,0,pink
866,18605,9615,8990,65.0,4634.0,0,pink
867,4984,2552,2432,42.0,1334.0,0,pink
868,9868,5050,4818,44.0,2897.0,0,pink
869,172288,87773,84515,446.0,48752.0,0,pink
870,11694,5959,5735,60.0,3233.0,0,pink
871,34825,17338,17487,97.0,8937.0,0,pink
872,96922,46438,50484,107.0,23254.0,0,pink
873,17136,8639,8497,101.0,4651.0,0,pink
874,6201,3033,3168,25.0,1541.0,0,pink
875,12453,6390,6063,56.0,3196.0,0,pink
876,7223,3525,3698,28.0,1727.0,0,pink
877,35315,17912,17403,222.0,10424.0,0,pink
878,49361,25243,24118,157.0,14486.0,0,pink
879,22143,11068,11075,89.0,6861.0,0,pink
880,6413,3256,3157,36.0,1527.0,0,pink
881,36757,17785,18972,187.0,12318.0,0,pink
882,10571,5381,5190,48.0,3466.0,0,pink
883,20401,10245,10156,57.0,4521.0,0,pink
884,102398,51902,50496,363.0,33045.0,0,pink
885,7489,3735,3754,17.0,2060.0,0,pink
886,12804,6421,6383,71.0,4069.0,0,pink
887,12630,6349,6281,95.0,5116.0,0,pink
888,7852,3920,3932,40.0,2582.0,0,pink
889,16363,8414,7949,49.0,5158.0,0,pink
890,4733,2377,2356,14.0,1236.0,0,pink
891,26791,13429,13362,130.0,7680.0,0,pink
892,14702,7459,7243,66.0,5596.0,0,pink
893,9664,4979,4685,56.0,3164.0,0,pink
894,66468,32929,33539,244.0,22523.0,0,pink
895,2645,1305,1340,13.0,834.0,0,pink
896,3367,1610,1757,23.0,997.0,0,pink
897,20331,10333,9998,106.0,7392.0,0,pink
898,2677,1357,1320,17.0,742.0,0,pink
899,2053,1016,1037,8.0,591.0,0,pink
900,8142,4064,4078,52.0,2509.0,0,pink
901,9060,4537,4523,55.0,2672.0,0,pink
902,8296,4101,4195,50.0,2828.0,0,pink
903,1780,868,912,21.0,561.0,0,pink
904,35591,17676,17915,181.0,12448.0,0,pink
905,39108,19581,19527,159.0,15106.0,0,pink
906,2881,1462,1419,22.0,800.0,0,pink
907,19004,9449,9555,110.0,5884.0,0,pink
908,7736,3776,3960,40.0,2841.0,0,pink
909,119319,60252,59067,189.0,34088.0,0,pink
910,2925,1431,1494,17.0,716.0,0,pink
911,2562,1304,1258,13.0,702.0,0,pink
912,28878,14484,14394,97.0,8413.0,0,pink
913,6293,2639,3654,37.0,2465.0,0,pink
914,36957,18017,18940,137.0,13680.0,0,pink
915,34484,16588,17896,127.0,12407.0,0,pink
916,25563,12996,12567,109.0,8195.0,0,pink
917,34895,16355,18540,96.0,11411.0,0,pink
918,2619,1321,1298,27.0,951.0,0,pink
919,2545,1255,1290,20.0,761.0,0,pink
920,7616,3628,3988,41.0,2850.0,0,pink
921,6037,3012,3025,29.0,1463.0,0,pink
922,1200,619,581,6.0,398.0,0,pink
923,6156,3050,3106,33.0,2248.0,0,pink
924,2616,1263,1353,7.0,558.0,0,pink
925,5673,2789,2884,32.0,1930.0,0,pink
926,34555,17355,17200,149.0,12004.0,0,pink
927,4047,2041,2006,17.0,1154.0,0,pink
928,1842,901,941,13.0,505.0,0,pink
929,13318,6676,6642,42.0,4629.0,0,pink
930,18888,9307,9581,78.0,5732.0,0,pink
931,2916,1434,1482,17.0,965.0,0,pink
932,585502,298515,286987,1430.0,177211.0,1,purple
933,3932,1998,1934,24.0,1568.0,0,pink
934,7470,3721,3749,31.0,2334.0,0,pink
935,2526,1292,1234,9.0,789.0,0,pink
936,20367,10297,10070,89.0,8007.0,0,pink
937,1642,792,850,12.0,392.0,0,pink
938,80042,37109,42933,229.0,24114.0,0,pink
939,3097,1512,1585,12.0,737.0,0,pink
940,9635,4835,4800,38.0,3465.0,0,pink
941,2810,1412,1398,16.0,1034.0,0,pink
942,33299,17039,16260,140.0,12114.0,0,pink
943,12032,6061,5971,59.0,4035.0,0,pink
944,9798,4874,4924,53.0,3030.0,0,pink
945,28630,14471,14159,151.0,9506.0,0,pink
946,4261,2132,2129,29.0,1434.0,0,pink
947,33127,16743,16384,108.0,9604.0,0,pink
948,6222,3059,3163,30.0,1764.0,0,pink
949,32970,16560,16410,185.0,10988.0,0,pink
950,5566,2813,2753,41.0,1770.0,0,pink
951,2838,1389,1449,14.0,748.0,0,pink
952,10104,4985,5119,69.0,3793.0,0,pink
953,16125,8202,7923,84.0,6110.0,0,pink
954,2955,1462,1493,19.0,902.0,0,pink
955,5486,2450,3036,42.0,2466.0,0,pink
956,15882,7914,7968,72.0,4865.0,0,pink
957,3603,1796,1807,21.0,1017.0,0,pink
958,5902,2859,3043,26.0,1458.0,0,pink
959,6709,2940,3769,29.0,2662.0,0,pink
960,5408,2760,2648,33.0,1696.0,0,pink
961,23545,11799,11746,73.0,7080.0,0,pink
962,9582,4797,4785,40.0,2282.0,0,pink
963,2509,1223,1286,14.0,782.0,0,pink
964,63101,31326,31775,290.0,22642.0,0,pink
965,4686,2415,2271,25.0,1557.0,0,pink
966,9762,4918,4844,34.0,3077.0,0,pink
967,75296,35387,39909,118.0,16613.0,0,pink
968,5118,2649,2469,23.0,1605.0,0,pink
969,3102,1581,1521,24.0,1007.0,0,pink
970,6977,3525,3452,47.0,2171.0,0,pink
971,54977,27602,27375,289.0,17018.0,0,pink
972,4949,2489,2460,41.0,1585.0,0,pink
973,512064,258863,253201,1736.0,171096.0,1,purple
974,22692,11091,11601,82.0,8626.0,0,pink
975,178284,91957,86327,752.0,60330.0,0,pink
976,2506,1231,1275,21.0,904.0,0,pink
977,5966,2963,3003,23.0,1817.0,0,pink
978,3663,1854,1809,10.0,835.0,0,pink
979,4214,2057,2157,33.0,1389.0,0,pink
980,2063,1008,1055,14.0,566.0,0,pink
981,5686,2804,2882,27.0,1902.0,0,pink
982,23208,11627,11581,87.0,6622.0,0,pink
983,7824,4008,3816,32.0,3007.0,0,pink
984,2858,1408,1450,16.0,952.0,0,pink
985,6888,3391,3497,25.0,2005.0,0,pink
986,1575,785,790,8.0,488.0,0,pink
987,5525,2681,2844,29.0,1614.0,0,pink
988,2143,1124,1019,11.0,617.0,0,pink
989,8780,4462,4318,63.0,3452.0,0,pink
990,3170,1587,1583,18.0,1046.0,0,pink
991,164345,83051,81294,545.0,54412.0,0,pink
992,19241,9716,9525,116.0,7813.0,0,pink
993,20794,10455,10339,127.0,8519.0,0,pink
994,22214,11341,10873,79.0,8492.0,0,pink
995,8090,4098,3992,38.0,1747.0,0,pink
996,43680,22515,21165,240.0,17229.0,0,pink
997,12268,6172,6096,53.0,4649.0,0,pink
998,27188,13863,13325,172.0,11113.0,0,pink
999,129095,65034,64061,352.0,46832.0,0,pink
1000,20144,10474,9670,76.0,7816.0,0,pink
1001,48091,24133,23958,209.0,22793.0,0,pink
1002,29913,15010,14903,166.0,11603.0,0,pink
1003,8306,4123,4183,29.0,2779.0,0,pink
1004,13116,6539,6577,72.0,5399.0,0,pink
1005,20080,9992,10088,89.0,6718.0,0,pink
1006,79466,39839,39627,262.0,29607.0,0,pink
1007,12745,6333,6412,58.0,4769.0,0,pink
1008,12727,6559,6168,67.0,5450.0,0,pink
1009,38776,19958,18818,107.0,11787.0,0,pink
1010,92267,47143,45124,215.0,30049.0,0,pink
1011,4841,2497,2344,24.0,1363.0,0,pink
1012,10711,5256,5455,55.0,4348.0,0,pink
1013,27290,13853,13437,122.0,12029.0,0,pink
1014,15796,8058,7738,85.0,5449.0,0,pink
1015,72263,33852,38411,235.0,20099.0,0,pink
1016,35872,18299,17573,84.0,14452.0,0,pink
1017,20621,9794,10827,110.0,9739.0,0,pink
1018,10211,5127,5084,58.0,4777.0,0,pink
1019,9083,4490,4593,57.0,2859.0,0,pink
1020,6713,3424,3289,35.0,2798.0,0,pink
1021,99937,51195,48742,446.0,38693.0,0,pink
1022,12122,6029,6093,57.0,3293.0,0,pink
1023,7517,3232,4285,22.0,3709.0,0,pink
1024,14313,7209,7104,58.0,5291.0,0,pink
1025,318734,162281,156453,731.0,122633.0,0,pink
1026,14479,7333,7146,76.0,5022.0,0,pink
1027,36926,18856,18070,255.0,16903.0,0,pink
1028,50296,25906,24390,195.0,18548.0,0,pink
1029,6210,3108,3102,35.0,1488.0,0,pink
1030,8703,4230,4473,58.0,2831.0,0,pink
1031,17328,8853,8475,92.0,6007.0,0,pink
1032,24915,12597,12318,75.0,9954.0,0,pink
1033,37294,18946,18348,205.0,13682.0,0,pink
1034,26178,13105,13073,155.0,10237.0,0,pink
1035,11023,5630,5393,51.0,4862.0,0,pink
1036,35765,18354,17411,160.0,16704.0,0,pink
1037,8719,4225,4494,30.0,3149.0,0,pink
1038,108095,54372,53723,491.0,43653.0,0,pink
1039,27134,14002,13132,235.0,12791.0,0,pink
1040,18668,9522,9146,91.0,8543.0,0,pink
1041,18627,9461,9166,111.0,6904.0,0,pink
1042,46137,23809,22328,185.0,17665.0,0,pink
1043,15814,8001,7813,68.0,6417.0,0,pink
1044,4568,2435,2133,31.0,1121.0,0,pink
1045,45664,23445,22219,284.0,19669.0,0,pink
1046,13373,6718,6655,85.0,5222.0,0,pink
1047,767154,396310,370844,2668.0,282271.0,1,purple
1048,52422,26943,25479,170.0,19109.0,0,pink
1049,22843,11643,11200,138.0,9051.0,0,pink
1050,164688,83258,81430,476.0,54021.0,0,pink
1051,15513,7820,7693,77.0,6087.0,0,pink
1052,31467,16137,15330,173.0,15219.0,0,pink
1053,14156,7129,7027,81.0,4861.0,0,pink
1054,60180,30768,29412,287.0,27072.0,0,pink
1055,15783,7885,7898,80.0,5596.0,0,pink
1056,6751,3250,3501,59.0,3523.0,0,pink
1057,10472,5405,5067,60.0,5228.0,0,pink
1058,22676,11589,11087,146.0,9856.0,0,pink
1059,13490,6776,6714,94.0,5754.0,0,pink
1060,24458,12477,11981,150.0,8936.0,0,pink
1061,9263,4637,4626,69.0,3111.0,0,pink
1062,26849,13695,13154,139.0,10326.0,0,pink
1063,8186,3690,4496,42.0,3754.0,0,pink
1064,89700,45963,43737,319.0,35372.0,0,pink
1065,12666,6318,6348,63.0,5162.0,0,pink
1066,19232,9481,9751,93.0,8058.0,0,pink
1067,31166,15825,15341,129.0,10245.0,0,pink
1068,11919,5336,6583,54.0,4247.0,0,pink
1069,17153,8668,8485,117.0,6312.0,0,pink
1070,65284,34091,31193,311.0,24247.0,0,pink
1071,17635,8022,9613,91.0,7751.0,0,pink
1072,9331,4729,4602,62.0,3352.0,0,pink
1073,28326,13974,14352,69.0,7471.0,0,pink
1074,6405,2984,3421,36.0,2372.0,0,pink
1075,21516,10919,10597,120.0,9521.0,0,pink
1076,10004,5081,4923,78.0,3722.0,0,pink
1077,10634,5264,5370,91.0,4508.0,0,pink
1078,27759,14218,13541,129.0,11330.0,0,pink
1079,13285,5860,7425,36.0,6708.0,0,pink
1080,31081,15795,15286,135.0,13308.0,0,pink
1081,45388,22896,22492,172.0,19197.0,0,pink
1082,7100,3731,3369,35.0,2750.0,0,pink
1083,24071,12111,11960,124.0,8970.0,0,pink
1084,65374,31046,34328,166.0,23648.0,0,pink
1085,10741,5437,5304,40.0,3155.0,0,pink
1086,4463,2516,1947,34.0,2112.0,0,pink
1087,14520,7160,7360,45.0,4387.0,0,pink
1088,26917,13644,13273,208.0,15962.0,0,pink
1089,60483,30976,29507,377.0,25110.0,0,pink
1090,12321,6273,6048,51.0,6461.0,0,pink
1091,64145,32628,31517,328.0,22164.0,0,pink
1092,2143,996,1147,22.0,914.0,0,pink
1093,16827,8657,8170,69.0,6645.0,0,pink
1094,24499,12736,11763,79.0,9772.0,0,pink
1095,17760,9072,8688,100.0,8374.0,0,pink
